Fecha-Hora, Velocidad, Latitude, Longitude
3/4/2018 4:20:00,0.0,19.37241784,-99.28077757
3/4/2018 14:20:00,0.0,19.40868114,-99.19784091
3/4/2018 14:30:00,0.0,19.40866278,-99.19786924
3/4/2018 14:50:00,0.0,19.40877116,-99.19794593
3/4/2018 17:40:00,0.0,19.40876286,-99.19791592
3/4/2018 18:0:00,0.0,19.40876286,-99.19791592
3/4/2018 23:40:00,0.0,19.37285613,-99.28059091
5/4/2018 7:40:00,0.0,19.37224945,-99.28175088
5/4/2018 12:10:00,0.0,19.37223453,-99.28166086
6/4/2018 7:50:00,0.0,19.38215116,-99.19764921
7/4/2018 19:40:00,0.0,19.40347279,-99.18478257
7/4/2018 20:20:00,0.0,19.40347279,-99.18478257
8/4/2018 5:10:00,0.0,19.37262948,-99.28140085
8/4/2018 6:20:00,0.0,19.37248448,-99.28109256
8/4/2018 6:30:00,0.0,19.37231281,-99.28111754
8/4/2018 12:30:00,0.0,19.37269117,-99.28097421
8/4/2018 20:10:00,0.0,19.37226613,-99.28120253
2/4/2018 19:40:00,0.0,19.3722378,-99.28099257
2/4/2018 20:30:00,0.0,19.372267800000003,-99.28080926
3/4/2018 6:0:00,0.0,19.3722378,-99.28082258
3/4/2018 18:40:00,0.0,19.37267282,-99.28135089
4/4/2018 4:40:00,0.0,19.3727128,-99.28135752
4/4/2018 10:50:00,0.0,19.3601578,-99.27894588
5/4/2018 4:30:00,0.0,19.37223285,-99.28097421
5/4/2018 4:40:00,0.0,19.37223453,-99.28094253
6/4/2018 4:50:00,0.0,19.37302779,-99.27983587
6/4/2018 13:40:00,0.0,19.38208947,-99.19763756
7/4/2018 4:20:00,0.0,19.37271448,-99.28123422
8/4/2018 12:50:00,0.0,19.37279452,-99.28071588
2/4/2018 18:50:00,0.0,19.38213448,-99.19785591
2/4/2018 20:20:00,0.0,19.37215951,-99.28201759
3/4/2018 6:20:00,0.0,19.3721378,-99.28195758
3/4/2018 14:0:00,0.0,19.4273178,-99.14970087
5/4/2018 6:0:00,0.0,19.372367800000003,-99.28096256
5/4/2018 12:0:00,0.0,19.3603795,-99.2798942
5/4/2018 22:30:00,0.0,19.37287449,-99.28042587
5/4/2018 22:30:00,0.0,19.37287616,-99.28043593
6/4/2018 5:40:00,0.0,19.37277281,-99.28042922
6/4/2018 5:40:00,0.0,19.37277114,-99.28043919
7/4/2018 16:40:00,0.0,19.38212283,-99.19776589
7/4/2018 19:50:00,0.0,19.37279285,-99.28075754
8/4/2018 12:50:00,0.0,19.37274616,-99.28082426
3/4/2018 4:10:00,0.0,19.37239445,-99.2810059
3/4/2018 7:20:00,0.0,19.37234617,-99.28125593
3/4/2018 9:20:00,0.0,19.37244114,-99.28105258
4/4/2018 4:40:00,0.0,19.37222447,-99.28099592
4/4/2018 6:20:00,0.0,19.37229278,-99.28097589
4/4/2018 16:10:00,0.0,19.38211453,-99.19756590000001
5/4/2018 4:0:00,0.0,19.37243946,-99.28083759
5/4/2018 4:10:00,0.0,19.37246453,-99.28083088
5/4/2018 4:20:00,0.0,19.37246285,-99.28085921
5/4/2018 4:30:00,0.0,19.37243284,-99.28081588
5/4/2018 5:30:00,0.0,19.37280785,-99.28048923
5/4/2018 16:30:00,0.0,19.37243452,-99.2818642
3/4/2018 5:50:00,0.0,19.37211785,-99.28187753
3/4/2018 6:10:00,0.0,19.37213118,-99.28191592
3/4/2018 6:50:00,0.0,19.37229278,-99.28097086
3/4/2018 7:0:00,0.0,19.37233612,-99.28081588
3/4/2018 10:10:00,0.0,19.37227116,-99.28101092
3/4/2018 11:50:00,0.0,19.372252800000002,-99.28103423
4/4/2018 7:30:00,0.0,19.4223195,-99.16993755
4/4/2018 7:30:00,0.0,19.42224448,-99.16988257
4/4/2018 7:40:00,0.0,19.42221783,-99.17004920000001
